CustomerNumber,CustomerName,StreetName,City,State,ZIP,Country,,,,,,,,,
1000383,RON'S ORIGINAL KETTL,3510 ELM RD,PASCO,WA,99301-8619,USA,,,,,,,,,
1000384,MEIANNA BAKERY,2850 SE 82ND AVE UNIT 27,PORTLAND,OR,97266-1599,USA,,,,,,,,,
1000385,ROSABELLA'S GARDEN B,8933 FARM TO MARKET RD,BOW,WA,98232-7100,USA,,,,,,,,,
1000386,SPECIALTY FOODS HOLD,7683 SE 27TH ST  103,MERCER ISLAND,WA,98040-2804,USA,,,,,,,,,
1000387,THE AUSTRALIAN PIE C,425 SW 152ND ST,BURIEN,WA,98166-2208,USA,,,,,,,,,
1000388,PLAZA GUERREROS MARK,816 72ND ST E,TACOMA,WA,98404-1700,USA,,,,,,,,,
1000391,BAKED AT HOME,13544 SE 161ST PL,RENTON,WA,98058-6919,USA,,,,,,,,,
1000394,LENY BAKERY,2225 S ALPINE ST,CORNELIUS,OR,97113-7331,USA,,,,,,,,,
1000396,BAGEL OASIS,2112 NE 65TH ST,SEATTLE,WA,98115-6936,USA,,,,,,,,,
1000398,OLD FASHIONED KETTLE,18721 E 8TH AVE,SPOKANE VALLEY,WA,99016-9745,USA,,,,,,,,,
1000399,COLLECTIONS HAPPY DO,2302 COMMERCIAL AVE,ANACORTES,WA,98221-2555,USA,,,,,,,,,
1000400,MEI SUM BAKERY,8001 SE POWELL BLVD,PORTLAND,OR,97206-2300,USA,,,,,,,,,
1000401,FINALES GOURMET DESS,2125 196TH ST SW UNIT 120,LYNNWOOD,WA,98036-7033,USA,,,,,,,,,
1000402,MOON'S SWEETS CLOSED,9205 SOUTH TACOMA WAY,LAKEWOOD,WA,98499-4464,USA,,,,,,,,,
1000404,STARLIGHT DESSERTS I,2001 W GARFIELD ST,SEATTLE,WA,98119-3119,USA,,,,,,,,,
1000405,COLLECTIONS EL BUEN,1333 W 7TH AVE,EUGENE,OR,97402-4541,USA,,,,,,,,,
1000406,SAYDA BAKERY,2900 SW CORNELIUS PASS RD,HILLSBORO,OR,97123-6742,USA,,,,,,,,,
1000407,VERACRUZ BAY BAKERY,3913 GIBBONS ST,VANCOUVER,WA,98661-5608,USA,,,,,,,,,
1000408,ARMENIA GASTRONOM,900 160TH AVE NE  5.6,BELLEVUE,WA,98008-3939,USA,,,,,,,,,
