LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-73.5579341,41.1780279,35,BLACK ROCK RD,,,,,,,6b3debddddab4bd8
-73.5597132,41.177148,79,BLACK ROCK RD,,,,,,,12202c4df6e796c8
-73.5594686,41.1765739,86,BLACK ROCK RD,,,,,,,42f0c250baaf72bd
-73.5609477,41.1768261,99,BLACK ROCK RD,,,,,,,9a5a4ce766127b3e
-73.5609472,41.1762445,111,BLACK ROCK RD,,,,,,,e6aa89489a1954fa
-73.5622891,41.1761154,37,CRAIG CT,,,,,,,7e81698bfc49587e
-73.5602784,41.1757985,116,BLACK ROCK RD,,,,,,,35afcbfab2a6b94a
-73.5629821,41.1758725,41,CRAIG CT,,,,,,,785fcfd8322bc538
-73.5638954,41.1755553,2,CRAIG CT,,,,,,,1bb8197d531a63f8
-73.5616861,41.1751211,35,CRAIG CT,,,,,,,8c45607c0ba62881
-73.5641406,41.1752143,1,CRAIG CT,,,,,,,bc7b2fba4ccfb59c
-73.5630784,41.1753257,15,CRAIG CT,,,,,,,bc538c202a882108
-73.5650767,41.1749087,3196,HIGH RIDGE RD,,,,,,,ad57ed3594fffae5
-73.5633954,41.1749471,21,CRAIG CT,,,,,,,2d37fc0cc61086b7
-73.5654871,41.1745527,15,FAIRWAY DR,,,,,,,bbb27ba0c3752991
-73.5641962,41.1746773,7,CRAIG CT,,,,,,,19c6aeb455e56fba
-73.5660276,41.1743757,29,FAIRWAY DR,,,,,,,8e99a8cc98b48df4
-73.5622264,41.174188,54,RIDING STABLE TRL,,,,,,,bd771ffcadd68d6e
-73.5631184,41.1742996,3153,HIGH RIDGE RD,,,,,,,bfe51839e2bfb4dd
-73.5667509,41.1741834,45,FAIRWAY DR,,,,,,,96237e950e2f74ff
-73.5640622,41.1742289,3151,HIGH RIDGE RD,,,,,,,13012868420efcbf
-73.5672889,41.1738763,57,FAIRWAY DR,,,,,,,d4ae9c6fd7a5ef69
-73.5650971,41.1739073,10,FAIRWAY DR,,,,,,,f931002cad03240e
-73.562511,41.1738272,46,RIDING STABLE TRL,,,,,,,7fa9f634e99565d3
